ax,ay,az,gx,gy,gz
1689,-173,-1450,150,838,23
1528,-192,-1583,315,1231,123
1382,-160,-1709,273,608,84
1274,-156,-1999,619,1251,32
1128,-111,-2217,550,2125,145
985,-128,2326,-99,1721,170
894,-139,2146,-268,442,151
854,-126,1878,109,-112,22
784,-142,1753,-210,-867,-540
729,-172,1664,-14,-1631,-716
721,-117,1381,337,-898,-141
450,-71,1413,248,-584,961
603,-117,1176,126,-1696,1031
829,-197,1093,-649,2113,2
660,-62,1024,-181,1281,-39
681,-30,787,479,1910,975
642,-90,711,445,-899,300
602,-30,666,436,-350,29
607,-25,540,183,-2328,51
613,-50,495,84,2236,111
635,-61,321,-13,816,-869
614,-60,304,-182,1653,-699
590,-69,339,-169,-207,234
640,-63,242,-65,-565,656
632,-70,295,59,-324,473
636,-47,274,-9,204,84
625,-37,299,-23,199,2
625,-36,302,35,-316,-3
619,-37,327,93,-578,-45
641,-27,296,147,-825,30
629,2,393,183,-733,206
596,-27,481,-21,-1111,804
611,58,511,-117,-2029,800
605,123,668,-487,1343,1001
582,-15,871,-446,-544,695
936,61,884,-33,-835,-788
619,100,1175,-64,-419,-528
683,104,1338,-283,-589,242
759,53,1545,-306,266,188
798,39,1754,-146,872,430
835,49,1969,-462,359,-45
937,25,2001,140,98,-391
968,65,2336,4,207,-141
1056,78,-2188,-438,-884,-64
1188,37,-2037,-471,-1347,-61
1322,21,-1835,327,-1692,388
